rssi,rf power
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-16.0,-38.16353740452224
-16.5,-40.05157956672014
-15.8,-39.96543409339767
-16.0,-38.89309071414724
-15.8,-35.23701293509957
-16.0,-35.46626448017719
-16.2,-38.17830760522027
-16.2,-40.42920396709343
-15.6,-40.27418920997146
-16.4,-39.76284994182601
-16.4,-38.46495115394798
-16.4,-39.70218053039294
-16.0,-40.49842071519907
-16.0,-39.81914479830007
-17.0,-40.50559567366561
-15.5,-39.41504809941254
-15.8,-40.21440196553322
-16.6,-38.65608001977878
-17.0,-37.57732883649957
-16.4,-40.64611302721181
-16.0,-39.703268128670246
-16.25,-40.97584195020908
-16.5,-39.82916470174493
-16.0,-39.737065547983086
-16.0,-40.06043032068313
-17.25,-39.24080861539514
-15.8,-39.692627723640605
-16.8,-39.790888499949496
-16.6,-38.03702101810886
-16.2,-40.22032067497837
-16.2,-40.832102902762784
-16.2,-40.98404211967586
-16.4,-38.36095303159009
-16.0,-37.94134107048751
-16.0,-39.02328810677668
-16.6,-39.4204715146975
-16.6,-40.054009439052756
-15.6,-39.53068177933616
-16.0,-38.426806786495995
-16.4,-39.66835301288194
-16.4,-39.90704518993891
-16.0,-35.67684103000764
-16.2,-36.29431737006119
-17.0,-37.165353513949235
-17.0,-40.317103285557174
-16.8,-38.582370003612006
-16.2,-38.96836723411602
-16.6,-39.88886389418083
-16.4,-40.39374789244666
-15.5,-38.8988557487207
-16.5,-39.46167348287597
-15.8,-40.26391088188899
-16.4,-40.618330465179234
-16.4,-40.38591864401318
-16.6,-40.750001648056745
-17.0,-39.261225622146526
-16.4,-39.856990175766654
-16.5,-39.66238703200973
-16.333333333333332,-38.8167494122141
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
-16.4,-38.85775571640187
